"category_group_id";"category_group";"category_count";"attribute_source_category_id"
"2247";"Dampfbügelstationen";"1";"16435"
"2309";"Dämpfer";"1";"16770"
"2248";"Dampfgarer";"5";"16440"
"2249";"Dartautomaten";"1";"16441"
"2250";"Daybetten";"6";"16444"
"2251";"Deckel";"15";"16451"
"2252";"Defibrillatoren";"2";"16464"
"2253";"Dekobecher";"4";"16465"
"2254";"Dekofiguren";"36";"16502"
"2255";"Dekogeweihe";"1";"16505"
"2256";"Dekohänger";"6";"16510"
"2257";"Dekokamine";"3";"16512"
"2258";"Dekokränze";"5";"16516"
"2259";"Dekorationsfolien";"4";"16521"
"2260";"Dekorierstifte";"1";"16524"
"2261";"Dekoschalen";"5";"16529"
"2262";"Dekosterne";"1";"16530"
"2263";"Deodorante";"10";"16533"
"2264";"Dermaroller";"3";"16541"
"2265";"Desktop-PCs";"14";"16550"
"2266";"Diabetrachter";"1";"16558"
"2267";"Diaprojektoren";"1";"16559"
"2268";"Diarahmen";"1";"16560"
"2269";"Dichtlippen";"6";"16565"
"2270";"Dichtmassen";"10";"16576"
"2271";"Dichtungsbänder";"9";"16577"
"2272";"Dichtungsringe";"2";"16586"
"2273";"Dichtungsschellen";"2";"16588"
"2274";"Digital-Bilderrahmen";"2";"16590"
"2275";"Disketten";"3";"16594"
"2276";"Displayfolien";"4";"16596"
"2242";"DJ-Controller";"1";"16425"
"2277";"Dockingstationen";"6";"16604"
"2278";"Dokumentenmappen";"8";"16610"
"2310";"Dörrautomaten";"2";"16772"
"2279";"Dosenöffner";"3";"16615"
"2280";"Dosierspender";"13";"16621"
"2295";"Drähte";"9";"16694"
"2281";"Drahtseilklemmen";"2";"16630"
"2282";"Drechselbänke";"1";"16631"
"2283";"Drehmaschinen";"5";"16633"
"2284";"Drehstähle";"1";"16637"
"2285";"Dreiräder";"1";"16638"
"2286";"Drohnen";"9";"16645"
"2287";"Drohnen-Rettungssysteme";"1";"16648"
"2288";"Druckbehälter";"3";"16649"
"2289";"Drucker";"27";"16660"
"2290";"Druckerbänder";"1";"16679"
"2291";"Druckertinte";"1";"16680"
"2292";"Druckluftschläuche";"1";"16681"
"2293";"Drucksprühgeräte";"3";"16684"
"2294";"Druckspüler";"2";"16685"
"2311";"Dübel";"28";"16781"
"2296";"Duftlampen";"1";"16696"
"2312";"Düngemittel";"18";"16805"
"2297";"Dunstabzugshauben";"9";"16705"
"2298";"Durchlauferhitzer";"5";"16708"
"2299";"Duschhocker";"5";"16713"
"2300";"Duschkabinen";"6";"16720"
"2302";"Duschköpfe";"7";"16726"
"2301";"Duschkopfhalterungen";"4";"16724"
"2303";"Duschstühle";"3";"16733"
"2304";"Duschtüren";"10";"16745"
"2305";"Duschvorhänge";"4";"16749"
"2307";"Duschwände";"4";"16756"
"2306";"Duschwannen";"4";"16751"
"2313";"Düsen";"14";"16823"
"2314";"E-Bike Umbausätze";"2";"16834"
"2315";"Echolote";"2";"16835"
"2316";"Edelsteine";"2";"16838"
"2317";"Eierbecher";"1";"16839"
"2318";"Eierkocher";"2";"16840"
"2319";"Eimer";"12";"16848"
"2320";"Einachser";"8";"16856"
"2321";"Einbaurahmen";"5";"16863"
"2322";"Eindeckrahmen";"2";"16867"
"2323";"Einfädelhilfen";"2";"16869"
"2324";"Eingabegeräte-Sets";"5";"16874"
"2325";"Eingabestifte";"2";"16877"
"2326";"Einkaufskörbe";"8";"16879"
"2327";"Einkochautomaten";"5";"16889"
"2328";"Einlegeböden";"4";"16893"
"2329";"Einlegesohlen";"25";"16907"
"2330";"Eisenbahn-Schienensets";"2";"16920"
"2331";"Eisfreihalter";"1";"16922"
"2332";"Eiskübel";"6";"16923"
"2333";"Eismaschinen";"2";"16929"
"2334";"Eispickel";"1";"16931"
"2335";"Eiswürfelbereiter";"4";"16934"
"2336";"Elastikbodenbeläge";"2";"16936"
"2337";"Elektro-Kinderfahrzeuge";"9";"16942"
"2338";"Elektro-Muskel-Stimulationsgeräte";"12";"16956"
"2339";"Elektroauto-Ladestationen";"1";"16959"
"2340";"Elektroden";"2";"16960"
"2341";"Elektrofahrräder";"2";"16962"
"2342";"Elektrofußwärmer";"1";"16964"
"2343";"Elektrohaarbürsten";"5";"16967"
"2344";"Elektrohautpflegebürsten";"2";"16970"
"2345";"Elektrohornhautentferner";"1";"16972"
"2346";"Elektrokaminöfen";"1";"16973"
"2347";"Elektrokardiogramm-Geräte";"1";"16974"
"2348";"Elektromobile";"1";"16975"
"2349";"Elektromotorroller";"3";"16977"
"2350";"Elektropfannen";"8";"16982"
"2351";"Elektrorasierer";"5";"16991"
"2352";"Elektroreinigungsbürsten";"4";"16995"
"2353";"Elektrowerkzeug-Funktionsaufsätze";"1";"16996"
"2354";"Elektrowerkzeug-Ständer";"5";"16999"
"2355";"Elektrozahnbürsten";"6";"17007"
"2356";"Entkerner";"2";"17008"
"2357";"Entsafter";"6";"17013"
"2358";"Epilierer";"4";"17018"
"2359";"Equalizer";"1";"17020"
"2360";"Erdbohrer";"2";"17021"
"2361";"Ersatzbrenner";"6";"17023"
"2362";"Erste-Hilfe-Sets";"4";"17029"
"2363";"Essbesteck-Sets";"7";"17033"
"2364";"Essgabeln";"10";"17045"
"2365";"Esslöffel";"21";"17069"
"2366";"Essmesser";"8";"17078"
"2367";"Essstäbchen";"1";"17079"
"2368";"Etagenbetten";"1";"17080"
"2369";"Etiketten";"4";"17084"
"2370";"Experimentierkästen";"1";"17085"
"2502";"Fächer";"2";"17833"
"2371";"Fahnen";"10";"17093"
"2372";"Fahrradanhänger";"4";"17097"
"2373";"Fahrradbremsen";"13";"17101"
"2374";"Fahrradcomputer";"3";"17113"
"2392";"Fahrräder";"27";"17176"
"2375";"Fahrradgabeln";"2";"17116"
"2376";"Fahrradhalterungen";"4";"17121"
"2377";"Fahrradketten";"3";"17122"
"2378";"Fahrradklingeln";"1";"17125"
"2379";"Fahrradkurbeln";"1";"17126"
"2380";"Fahrradlampen";"3";"17127"
"2381";"Fahrradlenker";"1";"17130"
"2382";"Fahrradnaben";"2";"17131"
"2383";"Fahrradparksysteme";"1";"17133"
"2384";"Fahrradpedale";"12";"17135"
"2385";"Fahrradrahmen";"1";"17146"
"2386";"Fahrradreifen";"1";"17147"
"2390";"Fahrradsättel";"2";"17154"
"2387";"Fahrradschaltungen";"3";"17149"
"2388";"Fahrradschaltzüge";"1";"17151"
"2389";"Fahrradschläuche";"1";"17152"
"2391";"Fahrradträger";"5";"17156"
"2393";"Fahrzeug-Schubstangen";"1";"17187"
"2394";"Fahrzeug-Spielwelten";"10";"17197"
"2395";"Fahrzeugheber";"4";"17201"
"2396";"Fahrzeugspiegel";"4";"17203"
"2397";"Fahrzeugstoßstangen";"2";"17207"
"2398";"Faltbetten";"8";"17213"
"2399";"Faltenbälge";"1";"17216"
"2400";"Falttür-Lamellen";"1";"17217"
"2401";"Falzmaschinen";"1";"17218"
"2402";"Fanghandschuhe";"2";"17220"
"2403";"Farben";"77";"17244"
"2404";"Farbmittel";"4";"17299"
"2405";"Farbroller";"6";"17307"
"2406";"Farbsprühgeräte";"2";"17309"
"2407";"Faszien-Boards";"1";"17310"
"2408";"Feilen";"5";"17311"
"2409";"Felgenbäume";"1";"17316"
"2410";"Fellkämme";"15";"17324"
"2411";"Fellpflegemittel";"6";"17332"
"2412";"Fenster";"6";"17338"
"2414";"Fensterbänke";"1";"17347"
"2413";"Fensterbilder";"3";"17344"
"2415";"Fensterfolien";"4";"17348"
"2416";"Fenstergriffe";"2";"17352"
"2417";"Fensterläden";"1";"17354"
"2418";"Fensterreiniger";"5";"17358"
"2419";"Fensterstopper";"1";"17360"
"2420";"Fernbedienungen";"8";"17362"
"2421";"Ferngläser";"9";"17376"
"2422";"Fernlenkfahrzeuge";"21";"17397"
"2423";"Fernseher";"13";"17399"
"2424";"Festplatten";"17";"17419"
"2425";"Festplatten-Einbaurahmen";"2";"17429"
"2426";"Feuchtigkeitsmessgeräte";"3";"17431"
"2427";"Feuerkörbe";"6";"17436"
"2428";"Feuerlöscher";"5";"17444"
"2429";"Feuerraumauskleidungen";"1";"17445"
"2430";"Feuerroste";"2";"17447"
"2431";"Feuerzeuge";"3";"17448"
"2432";"Fidget-Gadgets";"2";"17451"
"2433";"Filamente";"1";"17453"
"2434";"Filme";"5";"17458"
"2435";"Filmklappen";"2";"17459"
"2436";"Filteranlagen";"13";"17466"
"2437";"Filterkartuschen";"27";"17482"
"2438";"Filterkartuschen-Reinigungsgeräte";"1";"17501"
